CONS_NO,cons_mean,cons_total,diff_std,lag1_corr,month_std,FLAG,cons_total_zscore
0,4.550361708221748,12709524.28,12.434430874933641,0.07420459749766382,9.137466839804304,1,55.62791523898111
0.01,2.331049623063541,84414.3,8.30354181845751,0.11169588810406883,6.214060210917001,1,0.2663773568130737
0.02,3.612236772064303,67859.48,11.890103142153416,0.018112800954325832,8.484609254113142,1,0.19378390645784174
0.03,1.6350079744816588,20503.0,6.505839970111062,-0.060568520781457434,4.457315981821751,0,-0.01387587358679379
0.04,2.2331715506715506,29263.48,6.63334910609289,0.11285814071511949,4.976610199035151,1,0.024539130017473855
0.05,2.559132064306145,25947.04,13.016224968839424,-0.06092050434004142,8.936352790265042,0,0.009996427499650934
0.06,4.204904410657836,55866.36,13.635678180679324,0.09530667392773463,10.123654876205302,1,0.14119366619401894
0.07,1.4357118555352002,21943.42,4.614003564489016,-0.09372858065321568,3.1164313246265998,1,-0.007559582756649877
0.08,4.1932304038004755,40603.05,14.32261656302893,0.060880997174243105,10.446280052853739,1,0.0742635312398778
0.09,1.6755634192192856,15152.12,5.925826546401797,0.029689271249499036,4.24256840342323,1,-0.03733966489571792
0.1,5.847336331834082,70203.12,16.29058775228411,0.24922516121707006,13.294921193039189,1,0.20406084779520062
0.11,2.669537876572097,27381.45,8.812845820742558,-0.12662701080698238,5.871627125150453,1,0.016286364274804527
0.12,2.1606898300786206,17039.2,6.19631595721829,0.07968032664361821,4.557191971905695,1,-0.029064754730802136
0.13,2.2237028242939263,17794.07,10.681650420639555,-0.03198754049775984,7.418760844797434,1,-0.025754624033539716
0.14,2.1112075432381747,20263.37,4.824859429544809,0.17331055708965207,3.751463889408907,1,-0.014926659310143501
0.15,2.2607467612839343,27397.99,8.121358228493163,-0.0191989442843075,5.683428574073964,1,0.01635889273895428
0.16,2.361357163900619,24045.7,6.418741483659477,0.09773518447416145,4.779823141443928,1,0.0016589867483521182
0.17,4.504988221436984,22948.41,18.147710478040274,-0.0681936398421076,12.41073691855866,1,-0.0031526673282426436
0.18,2.225069165113313,22680.13,8.334773204023623,0.010115501537216952,5.915175921994488,1,-0.004329084278792485
0.19,3.305437174290678,34250.94,13.22520301133732,-0.02161826248473977,9.247583360838085,1,0.04640931223079331
0.2,1.990036832412523,12967.08,8.476350757668996,-0.07632103437031679,5.774614195539985,0,-0.04692113982351514
0.21,2.890172888015717,22066.47,8.655545262853135,0.12829907541225635,6.556748899054221,1,-0.00702000430963496
0.22,1.7785186113548064,14190.8,5.457888946859336,0.026826541747659142,3.9092520755911715,1,-0.04155508588461974
0.23,1.0699188438021123,9623.92,3.85363898625775,-0.012941169314431457,2.6962565678479913,1,-0.06158101045270936
0.24,2.7367950209399723,23525.49,10.812363938814112,-0.016006760381614214,7.576278611094555,1,-0.0006221518450783831
0.25,3.429190909090909,33948.99,8.8483859879601,-0.011410555536258943,6.220145227662513,1,0.04508525118182011
0.26,2.9415531949138902,18275.87,7.204067760836414,0.2037415577929442,5.710354284758463,1,-0.023641914600205455
0.27,2.049887419390097,18754.42,7.748853946682199,0.032530922457704475,5.572139909638307,1,-0.021543456527722868
0.28,3.194817880794702,28945.05,8.847814444038896,-0.094535495564765,5.981755474614379,1,0.02314280360639741
0.29,1.347796718790054,10515.51,5.065654954189994,-0.022348239744495745,3.5267707317902577,1,-0.05767135789217284
